LE,CUSTOMERACCOUNT,ADDRESSZIPCODE
NA1,11619460,10005
NA1,11619466,10005
NA1,11619467,10007
NA1,11619471,10005
NA1,11619472,10005
NA1,11619475,10005
NA1,11619479,12004
NA1,11619485,10023
NA1,11619487,10005
NA1,11619488,10009
NA1,11619491,10005
NA1,11619494,12004
NA1,11619500,10005
NA1,11619503,10005
NA1,11619509,10005
NA1,11619510,10032
NA1,11619515,10028
NA1,11619520,10021
NA1,11619522,10023
NA1,11619525,10021
NA1,11619528,10021
NA1,11619533,10007
NA1,11619541,10023
NA1,11619543,10005
NA1,11619545,10007
NA1,11619547,10005
NA1,11619548,10011
NA1,11619550,10005
NA1,11619553,10021
NA1,11619558,10007
NA1,11619562,10005
NA1,11619570,10005
NA1,11619572,13007
NA1,11619576,10011
NA1,11619578,10005
NA1,11619581,10005
NA1,11619583,10001
NA1,11619587,10001
NA1,11619589,10005
NA1,11619598,10005
NA1,11619600,10005
NA1,11619602,10005
NA1,11619605,10007
NA1,11619608,10028
NA1,11619615,10021
NA1,11619617,10011
NA1,11619619,10031
NA1,11619621,22008
NA1,11619624,10005
NA1,11619627,10007
NA1,11619636,10027
NA1,11619639,10005
NA1,11619640,10005
NA1,11619644,10009
NA1,11619647,10021
NA1,11619649,10007
NA1,11619653,10031
NA1,11619655,10005
NA1,11619657,10007
NA1,11619664,10005
NA1,11619666,10001
NA1,11619671,10005
NA1,11619680,10028
NA1,11619683,10005
NA1,11619685,10005
NA1,11619689,10005
NA1,11619695,10007
NA1,11619697,10021
NA1,11619700,10001
NA1,11619702,10007
NA1,11619705,10005
NA1,11619707,10005
NA1,11619713,10005
NA1,11619720,10007
NA1,11619722,10030
NA1,11619730,10021
NA1,11619739,10005
NA1,11619743,10007
NA1,11619749,10021
NA1,11619760,10007
NA1,11619763,10007
NA1,11619771,10022
NA1,11619774,10031
NA1,11619780,10007
NA1,11619785,10005
NA1,11619786,10005
NA1,11619788,10028
NA1,11619791,10009
NA1,11619794,10005
NA1,11619799,10005
NA1,11619809,13007
NA1,11619811,10005
NA1,11619816,10005
NA1,11619822,10005
NA1,11619823,10005
NA1,11619829,10007
NA1,11619835,10005
NA1,11619836,10005
NA1,11619842,10005
NA1,11619843,10005
NA1,11619845,10009
NA1,11619848,10005
NA1,11619852,10007
NA1,11619859,10021
NA1,11619871,12004
NA1,11619875,10005
NA1,11619877,10005
NA1,11619881,10005
NA1,11619882,10007
NA1,11619885,10005
NA1,11619887,10005
NA1,11619888,10009
NA1,11619892,10005
NA1,11619899,10007
NA1,11619902,10005
NA1,11619907,10005
NA1,11619909,10007
NA1,11619911,10007
NA1,11619913,10005
NA1,11619919,10005
NA1,11619921,10005
NA1,11619932,12004
NA1,11619934,10005
NA1,11619936,10005
NA1,11619942,10005
